backend,category,shape,cpu_threads,cpu_total_ms,gpu_total_ms,gpu_speedup_x,cpu_gflops,gpu_gflops,cpu_cv_percent,gpu_cv_percent,cpu_active_threads_mode,cpu_schedule
T-MAC W2A16,Small Square,256x256x256,1,0.322085,0.006912,46.597946,104.178810,4854.518519,0.112374,6.813969,1,"unstable: bm=128,bn=64,kfactor=16 (2/5), 4 schedule(s)"
T-MAC W2A16,Small Square,256x256x256,2,0.258743,0.006912,37.433883,129.682473,4854.518519,0.287332,6.813969,2,"mostly stable: bm=512,bn=32,kfactor=16 (3/5), 3 schedule(s)"
T-MAC W2A16,Small Square,256x256x256,4,0.160773,0.006912,23.259983,208.706885,4854.518519,0.445225,6.813969,4,"unstable: bm=512,bn=16,kfactor=16 (2/5), 4 schedule(s)"
T-MAC W2A16,Small Square,256x256x256,8,0.163872,0.006912,23.708333,204.760008,4854.518519,1.719050,6.813969,4,"mostly stable: bm=128,bn=64,kfactor=16 (4/5), 2 schedule(s)"
T-MAC W2A16,Small Square,256x256x256,16,0.163932,0.006912,23.717014,204.685065,4854.518519,0.633199,6.813969,4,"stable: bm=128,bn=64,kfactor=16 (5/5), 1 schedule(s)"
T-MAC W2A16,Medium Square,1024x1024x1024,1,18.164943,0.055104,329.648356,118.221326,38971.465738,1.117029,0.969268,1,"mostly stable: bm=128,bn=64,kfactor=16 (3/5), 2 schedule(s)"
T-MAC W2A16,Medium Square,1024x1024x1024,2,12.662394,0.055104,229.790832,169.595390,38971.465738,0.195243,0.969268,2,"mostly stable: bm=128,bn=64,kfactor=16 (3/5), 2 schedule(s)"
T-MAC W2A16,Medium Square,1024x1024x1024,4,6.453994,0.055104,117.123875,332.737162,38971.465738,0.562921,0.969268,4,"unstable: bm=128,bn=64,kfactor=16 (2/5), 3 schedule(s)"
T-MAC W2A16,Medium Square,1024x1024x1024,8,6.630498,0.055104,120.326982,323.879692,38971.465738,0.205922,0.969268,8,"mostly stable: bm=128,bn=32,kfactor=16 (4/5), 2 schedule(s)"
T-MAC W2A16,Medium Square,1024x1024x1024,16,5.533602,0.055104,100.421058,388.080612,38971.465738,4.549034,0.969268,16,"mostly stable: bm=128,bn=32,kfactor=16 (3/5), 3 schedule(s)"
