backend,category,shape,best_primary_thread,best_primary_cpu_ms,gpu_ms,gpu_speedup_vs_primary_x,best_all_thread,best_all_cpu_ms,gpu_speedup_vs_best_all_x,gpu_gflops
T-MAC W2A16,Small Square,256x256x256,4,0.160773,0.006912,23.259983,4,0.160773,23.259983,4854.518519
T-MAC W2A16,Medium Square,1024x1024x1024,4,6.453994,0.055104,117.123875,16,5.533602,100.421058,38971.465738
T-MAC W2A16,Large Square,4096x4096x4096,8,360.971359,1.985536,181.800460,16,274.715019,138.358115,69220.076328
T-MAC W2A16,Rectangular,4096x1024x2048,8,45.636620,0.277504,164.453918,16,35.718659,128.714033,61908.546125
T-MAC W2A16,Medium Rectangular,1024x1024x512,4,3.284623,0.032768,100.238739,16,2.744914,83.768127,32768.000000
T-MAC W3A16,Small Square,256x256x256,4,0.207024,0.006912,29.951389,4,0.207024,29.951389,4854.518519
T-MAC W3A16,Medium Square,1024x1024x1024,4,9.157900,0.055104,166.193017,16,7.717369,140.050976,38971.465738
T-MAC W3A16,Large Square,4096x4096x4096,8,527.235345,1.985536,265.538044,16,398.961016,200.933660,69220.076328
T-MAC W3A16,Rectangular,4096x1024x2048,8,66.219955,0.277504,238.627029,16,50.788347,183.018432,61908.546125
T-MAC W3A16,Medium Rectangular,1024x1024x512,4,4.643847,0.032768,141.718964,16,3.791776,115.715820,32768.000000
T-MAC W4A16,Small Square,256x256x256,4,0.249835,0.006912,36.145110,16,0.241894,34.996238,4854.518519
T-MAC W4A16,Medium Square,1024x1024x1024,4,11.834163,0.055104,214.760507,16,9.646320,175.056620,38971.465738
T-MAC W4A16,Large Square,4096x4096x4096,8,703.746787,1.985536,354.436680,16,534.600293,269.247343,69220.076328
T-MAC W4A16,Rectangular,4096x1024x2048,8,87.337454,0.277504,314.725027,16,67.262203,242.382823,61908.546125
T-MAC W4A16,Medium Rectangular,1024x1024x512,8,5.941969,0.032768,181.334503,16,4.764327,145.395721,32768.000000
