backend,dtype,category,shape,threads,runs,total_mean_ms,total_median_ms,total_std_ms,total_min_ms,total_max_ms,cv_percent,gflops_mean,gflops_median,checksum_min,checksum_max,autotuned,active_threads_mode,schedule,schedule_unique_count,schedule_mode_count
T-MAC W2A16,W2A16,Small Square,256x256x256,1,5,0.322227,0.322085,0.000362,0.321904,0.322635,0.112374,104.133005,104.178810,2031.432714,2031.432714,True,1,"unstable: bm=128,bn=64,kfactor=16 (2/5), 4 schedule(s)",4,2
T-MAC W2A16,W2A16,Small Square,256x256x256,2,5,0.259106,0.258743,0.000744,0.258445,0.260274,0.287332,129.501645,129.682473,2031.432714,2031.432714,True,2,"mostly stable: bm=512,bn=32,kfactor=16 (3/5), 3 schedule(s)",3,3
T-MAC W2A16,W2A16,Small Square,256x256x256,4,5,0.160655,0.160773,0.000715,0.159473,0.161313,0.445225,208.863504,208.706885,2031.432714,2031.432714,True,4,"unstable: bm=512,bn=16,kfactor=16 (2/5), 4 schedule(s)",4,2
T-MAC W2A16,W2A16,Small Square,256x256x256,8,5,0.165261,0.163872,0.002841,0.162803,0.169883,1.719050,203.086840,204.760008,2031.432714,2031.432714,True,4,"mostly stable: bm=128,bn=64,kfactor=16 (4/5), 2 schedule(s)",2,4
T-MAC W2A16,W2A16,Small Square,256x256x256,16,5,0.164298,0.163932,0.001040,0.163102,0.165533,0.633199,204.235392,204.685065,2031.432714,2031.432714,True,4,"stable: bm=128,bn=64,kfactor=16 (5/5), 1 schedule(s)",1,5
T-MAC W2A16,W2A16,Medium Square,1024x1024x1024,1,5,18.139711,18.164943,0.202626,17.934190,18.419665,1.117029,118.397557,118.221326,-10252.259860,-10252.259860,True,1,"mostly stable: bm=128,bn=64,kfactor=16 (3/5), 2 schedule(s)",2,3
T-MAC W2A16,W2A16,Medium Square,1024x1024x1024,2,5,12.663062,12.662394,0.024724,12.626849,12.693581,0.195243,169.586966,169.595390,-10252.259860,-10252.259860,True,2,"mostly stable: bm=128,bn=64,kfactor=16 (3/5), 2 schedule(s)",2,3
T-MAC W2A16,W2A16,Medium Square,1024x1024x1024,4,5,6.459788,6.453994,0.036363,6.422066,6.514988,0.562921,332.447112,332.737162,-10252.259860,-10252.259860,True,4,"unstable: bm=128,bn=64,kfactor=16 (2/5), 3 schedule(s)",3,2
T-MAC W2A16,W2A16,Medium Square,1024x1024x1024,8,5,6.635961,6.630498,0.013665,6.623516,6.656861,0.205922,323.614176,323.879692,-10252.259860,-10252.259860,True,8,"mostly stable: bm=128,bn=32,kfactor=16 (4/5), 2 schedule(s)",2,4
T-MAC W2A16,W2A16,Medium Square,1024x1024x1024,16,5,5.613421,5.533602,0.255356,5.341580,5.921905,4.549034,383.190960,388.080612,-10252.259860,-10252.259860,True,16,"mostly stable: bm=128,bn=32,kfactor=16 (3/5), 3 schedule(s)",3,3
T-MAC W2A16,W2A16,Large Square,4096x4096x4096,1,5,1045.096520,1042.993979,5.505622,1041.106921,1054.700288,0.526805,131.511285,131.773487,413552.598143,413552.598143,True,1,"stable: bm=256,bn=16,kfactor=16 (5/5), 1 schedule(s)",1,5
T-MAC W2A16,W2A16,Large Square,4096x4096x4096,2,5,789.143806,789.777033,4.119200,784.835895,794.340331,0.521983,174.165910,174.022474,413552.598143,413552.598143,True,2,"stable: bm=256,bn=16,kfactor=16 (5/5), 1 schedule(s)",1,5
