backend,category,shape,threads,original_cpu,lab_cpu,original_total_ms,lab_total_ms,lab_speedup_x,lab_latency_difference_percent,original_gflops,lab_gflops,original_cv_percent,lab_cv_percent,lab_active_threads_mode,original_schedule,lab_schedule,winner
T-MAC W2A16,Small Square,256x256x256,1,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,0.459401,0.322085,1.426335,-29.890227,73.039528,104.178810,1.070136,0.112374,1,"unstable: mode bm=512,bn=64,kfactor=16 (2/5), 3 schedules","unstable: bm=128,bn=64,kfactor=16 (2/5), 4 schedule(s)",AMD Ryzen 5 8500G
T-MAC W2A16,Small Square,256x256x256,2,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,0.299541,0.258743,1.157678,-13.620172,112.019496,129.682473,1.351770,0.287332,2,"unstable: mode bm=512,bn=64,kfactor=16 (2/5), 4 schedules","mostly stable: bm=512,bn=32,kfactor=16 (3/5), 3 schedule(s)",AMD Ryzen 5 8500G
T-MAC W2A16,Small Square,256x256x256,4,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,0.340815,0.160773,2.119852,-52.826900,98.453507,208.706885,26.108670,0.445225,4,"unstable: mode bm=512,bn=16,kfactor=16 (2/5), 4 schedules","unstable: bm=512,bn=16,kfactor=16 (2/5), 4 schedule(s)",AMD Ryzen 5 8500G
T-MAC W2A16,Small Square,256x256x256,8,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,0.287962,0.163872,1.757237,-43.092491,116.523819,204.760008,0.819443,1.719050,4,"stable: bm=256,bn=64,kfactor=16 (5/5)","mostly stable: bm=128,bn=64,kfactor=16 (4/5), 2 schedule(s)",AMD Ryzen 5 8500G
T-MAC W2A16,Small Square,256x256x256,16,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,0.289219,0.163932,1.764262,-43.319077,116.017385,204.685065,0.700609,0.633199,4,"mostly stable: bm=256,bn=64,kfactor=16 (3/5), 2 schedules","stable: bm=128,bn=64,kfactor=16 (5/5), 1 schedule(s)",AMD Ryzen 5 8500G
T-MAC W2A16,Medium Square,1024x1024x1024,1,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,22.822459,18.164943,1.256401,-20.407599,94.095191,118.221326,5.713847,1.117029,1,"unstable: mode bm=128,bn=64,kfactor=16 (2/5), 3 schedules","mostly stable: bm=128,bn=64,kfactor=16 (3/5), 2 schedule(s)",AMD Ryzen 5 8500G
T-MAC W2A16,Medium Square,1024x1024x1024,2,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,12.999925,12.662394,1.026656,-2.596407,165.192003,169.595390,3.839651,0.195243,2,"unstable: mode bm=256,bn=8,kfactor=16 (2/5), 4 schedules","mostly stable: bm=128,bn=64,kfactor=16 (3/5), 2 schedule(s)",AMD Ryzen 5 8500G
T-MAC W2A16,Medium Square,1024x1024x1024,4,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,7.517491,6.453994,1.164781,-14.146967,285.664944,332.737162,6.184600,0.562921,4,"unstable: mode bm=1024,bn=8,kfactor=16 (2/5), 4 schedules","unstable: bm=128,bn=64,kfactor=16 (2/5), 3 schedule(s)",AMD Ryzen 5 8500G
T-MAC W2A16,Medium Square,1024x1024x1024,8,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,8.866852,6.630498,1.337283,-25.221510,242.192342,323.879692,4.077824,0.205922,8,"unstable: mode bm=1024,bn=8,kfactor=16 (2/5), 4 schedules","mostly stable: bm=128,bn=32,kfactor=16 (4/5), 2 schedule(s)",AMD Ryzen 5 8500G
T-MAC W2A16,Medium Square,1024x1024x1024,16,Intel Core Ultra 7 258V,AMD Ryzen 5 8500G,7.772283,5.533602,1.404561,-28.803390,276.300239,388.080612,7.394461,4.549034,16,"mostly stable: bm=256,bn=8,kfactor=16 (3/5), 3 schedules","mostly stable: bm=128,bn=32,kfactor=16 (3/5), 3 schedule(s)",AMD Ryzen 5 8500G
