Backend,Shape,Threads,MKL Median (ms),T-MAC Median (ms),Speedup vs MKL
T-MAC W2A16,256x256x256,1,0.135663,0.459401,0.2953
T-MAC W2A16,256x256x256,2,0.128059,0.299541,0.4275
T-MAC W2A16,256x256x256,4,0.124377,0.340815,0.3649
T-MAC W2A16,256x256x256,8,0.113813,0.287962,0.3952
T-MAC W2A16,256x256x256,16,0.129488,0.289219,0.4477
T-MAC W2A16,1024x1024x1024,1,7.219003,22.822459,0.3163
T-MAC W2A16,1024x1024x1024,2,9.509686,12.999925,0.7315
T-MAC W2A16,1024x1024x1024,4,7.205394,7.517491,0.9585
T-MAC W2A16,1024x1024x1024,8,9.024728,8.866852,1.0178
T-MAC W2A16,1024x1024x1024,16,7.303773,7.772283,0.9397
T-MAC W2A16,4096x4096x4096,1,331.529382,1664.725245,0.1991
T-MAC W2A16,4096x4096x4096,2,320.147220,735.940318,0.4350
T-MAC W2A16,4096x4096x4096,4,344.963007,381.560458,0.9041
T-MAC W2A16,4096x4096x4096,8,324.934291,320.573850,1.0136
T-MAC W2A16,4096x4096x4096,16,325.084963,435.729368,0.7461
T-MAC W2A16,4096x1024x2048,1,51.362234,184.947226,0.2777
T-MAC W2A16,4096x1024x2048,2,59.343846,91.515319,0.6485
T-MAC W2A16,4096x1024x2048,4,49.865959,49.083188,1.0159
T-MAC W2A16,4096x1024x2048,8,51.740336,45.986719,1.1251
T-MAC W2A16,4096x1024x2048,16,50.053476,43.477866,1.1512
T-MAC W2A16,1024x1024x512,1,4.775016,12.618232,0.3784
T-MAC W2A16,1024x1024x512,2,3.488027,6.804307,0.5126
T-MAC W2A16,1024x1024x512,4,3.464960,4.185023,0.8279
T-MAC W2A16,1024x1024x512,8,3.475464,4.609484,0.7540
T-MAC W2A16,1024x1024x512,16,5.068800,4.487577,1.1295
T-MAC W3A16,256x256x256,1,0.135663,0.650710,0.2085
T-MAC W3A16,256x256x256,2,0.128059,0.394522,0.3246
T-MAC W3A16,256x256x256,4,0.124377,0.448772,0.2771
T-MAC W3A16,256x256x256,8,0.113813,0.379619,0.2998
T-MAC W3A16,256x256x256,16,0.129488,0.380427,0.3404
T-MAC W3A16,1024x1024x1024,1,7.219003,33.349888,0.2165
T-MAC W3A16,1024x1024x1024,2,9.509686,17.684426,0.5377
T-MAC W3A16,1024x1024x1024,4,7.205394,10.349298,0.6962
T-MAC W3A16,1024x1024x1024,8,9.024728,13.067544,0.6906
T-MAC W3A16,1024x1024x1024,16,7.303773,10.281066,0.7104
T-MAC W3A16,4096x4096x4096,1,331.529382,2262.284820,0.1465
T-MAC W3A16,4096x4096x4096,2,320.147220,1119.598873,0.2859
T-MAC W3A16,4096x4096x4096,4,344.963007,631.802582,0.5460
T-MAC W3A16,4096x4096x4096,8,324.934291,529.392155,0.6138
T-MAC W3A16,4096x4096x4096,16,325.084963,599.434801,0.5423
T-MAC W3A16,4096x1024x2048,1,51.362234,275.046955,0.1867
T-MAC W3A16,4096x1024x2048,2,59.343846,131.710203,0.4506
T-MAC W3A16,4096x1024x2048,4,49.865959,73.906900,0.6747
T-MAC W3A16,4096x1024x2048,8,51.740336,73.204279,0.7068
T-MAC W3A16,4096x1024x2048,16,50.053476,66.658447,0.7509
T-MAC W3A16,1024x1024x512,1,4.775016,17.832168,0.2678
T-MAC W3A16,1024x1024x512,2,3.488027,9.470799,0.3683
T-MAC W3A16,1024x1024x512,4,3.464960,5.902071,0.5871
T-MAC W3A16,1024x1024x512,8,3.475464,6.237089,0.5572
T-MAC W3A16,1024x1024x512,16,5.068800,5.692750,0.8904
T-MAC W4A16,256x256x256,1,0.135663,0.853521,0.1589
T-MAC W4A16,256x256x256,2,0.128059,0.484518,0.2643
T-MAC W4A16,256x256x256,4,0.124377,0.304221,0.4088
T-MAC W4A16,256x256x256,8,0.113813,0.278925,0.4080
T-MAC W4A16,256x256x256,16,0.129488,0.281838,0.4594
T-MAC W4A16,1024x1024x1024,1,7.219003,49.687122,0.1453
T-MAC W4A16,1024x1024x1024,2,9.509686,21.069338,0.4514
T-MAC W4A16,1024x1024x1024,4,7.205394,13.361271,0.5393
T-MAC W4A16,1024x1024x1024,8,9.024728,13.124263,0.6876
T-MAC W4A16,1024x1024x1024,16,7.303773,12.314391,0.5931
T-MAC W4A16,4096x4096x4096,1,331.529382,2230.487506,0.1486
T-MAC W4A16,4096x4096x4096,2,320.147220,1387.305945,0.2308
T-MAC W4A16,4096x4096x4096,4,344.963007,826.430887,0.4174
T-MAC W4A16,4096x4096x4096,8,324.934291,712.418761,0.4561
T-MAC W4A16,4096x4096x4096,16,325.084963,671.332637,0.4842
T-MAC W4A16,4096x1024x2048,1,51.362234,273.531722,0.1878
T-MAC W4A16,4096x1024x2048,2,59.343846,173.782093,0.3415
T-MAC W4A16,4096x1024x2048,4,49.865959,104.054383,0.4792
T-MAC W4A16,4096x1024x2048,8,51.740336,91.422475,0.5659
T-MAC W4A16,4096x1024x2048,16,50.053476,86.543672,0.5784
T-MAC W4A16,1024x1024x512,1,4.775016,17.648935,0.2706
T-MAC W4A16,1024x1024x512,2,3.488027,11.632085,0.2999
T-MAC W4A16,1024x1024x512,4,3.464960,8.206064,0.4222
T-MAC W4A16,1024x1024x512,8,3.475464,5.797108,0.5995
T-MAC W4A16,1024x1024x512,16,5.068800,5.975858,0.8482
