Backend,Dtype,Category,Shape,Threads,Total (ms),GFLOPs
MKL,fp16,Small Square,256x256x256,1,0.135663,247.336650
MKL,fp16,Small Square,256x256x256,2,0.128059,262.023224
MKL,fp16,Small Square,256x256x256,4,0.124377,269.780040
MKL,fp16,Small Square,256x256x256,8,0.113813,294.820732
MKL,fp16,Small Square,256x256x256,16,0.129488,259.131595
MKL,fp16,Medium Square,1024x1024x1024,1,7.219003,297.476486
MKL,fp16,Medium Square,1024x1024x1024,2,9.509686,225.820668
MKL,fp16,Medium Square,1024x1024x1024,4,7.205394,298.038337
MKL,fp16,Medium Square,1024x1024x1024,8,9.024728,237.955498
MKL,fp16,Medium Square,1024x1024x1024,16,7.303773,294.023876
MKL,fp16,Large Square,4096x4096x4096,1,331.529382,414.560401
MKL,fp16,Large Square,4096x4096x4096,2,320.147220,429.299225
MKL,fp16,Large Square,4096x4096x4096,4,344.963007,398.416499
MKL,fp16,Large Square,4096x4096x4096,8,324.934291,422.974605
MKL,fp16,Large Square,4096x4096x4096,16,325.084963,422.778563
MKL,fp16,Rectangular,4096x1024x2048,1,51.362234,334.484462
MKL,fp16,Rectangular,4096x1024x2048,2,59.343846,289.497064
MKL,fp16,Rectangular,4096x1024x2048,4,49.865959,344.520982
MKL,fp16,Rectangular,4096x1024x2048,8,51.740336,332.040155
MKL,fp16,Rectangular,4096x1024x2048,16,50.053476,343.230292
MKL,fp16,Medium Rectangular,1024x1024x512,1,4.775016,224.866644
MKL,fp16,Medium Rectangular,1024x1024x512,2,3.488027,307.836443
MKL,fp16,Medium Rectangular,1024x1024x512,4,3.464960,309.885778
MKL,fp16,Medium Rectangular,1024x1024x512,8,3.475464,308.949200
MKL,fp16,Medium Rectangular,1024x1024x512,16,5.068800,211.833535
T-MAC W2A16,W2A16,Small Square,256x256x256,1,0.459401,73.039528
T-MAC W2A16,W2A16,Small Square,256x256x256,2,0.299541,112.019496
T-MAC W2A16,W2A16,Small Square,256x256x256,4,0.340815,98.453507
T-MAC W2A16,W2A16,Small Square,256x256x256,8,0.287962,116.523819
T-MAC W2A16,W2A16,Small Square,256x256x256,16,0.289219,116.017385
T-MAC W2A16,W2A16,Medium Square,1024x1024x1024,1,22.822459,94.095191
T-MAC W2A16,W2A16,Medium Square,1024x1024x1024,2,12.999925,165.192003
T-MAC W2A16,W2A16,Medium Square,1024x1024x1024,4,7.517491,285.664944
T-MAC W2A16,W2A16,Medium Square,1024x1024x1024,8,8.866852,242.192342
T-MAC W2A16,W2A16,Medium Square,1024x1024x1024,16,7.772283,276.300239
T-MAC W2A16,W2A16,Large Square,4096x4096x4096,1,1664.725245,82.559542
T-MAC W2A16,W2A16,Large Square,4096x4096x4096,2,735.940318,186.752852
T-MAC W2A16,W2A16,Large Square,4096x4096x4096,4,381.560458,360.202297
T-MAC W2A16,W2A16,Large Square,4096x4096x4096,8,320.573850,428.727900
T-MAC W2A16,W2A16,Large Square,4096x4096x4096,16,435.729368,315.422745
T-MAC W2A16,W2A16,Rectangular,4096x1024x2048,1,184.947226,92.890656
T-MAC W2A16,W2A16,Rectangular,4096x1024x2048,2,91.515319,187.726704
T-MAC W2A16,W2A16,Rectangular,4096x1024x2048,4,49.083188,350.015349
T-MAC W2A16,W2A16,Rectangular,4096x1024x2048,8,45.986719,373.583277
T-MAC W2A16,W2A16,Rectangular,4096x1024x2048,16,43.477866,395.140580
T-MAC W2A16,W2A16,Medium Rectangular,1024x1024x512,1,12.618232,85.094475
T-MAC W2A16,W2A16,Medium Rectangular,1024x1024x512,2,6.804307,157.803260
T-MAC W2A16,W2A16,Medium Rectangular,1024x1024x512,4,4.185023,256.567724
T-MAC W2A16,W2A16,Medium Rectangular,1024x1024x512,8,4.609484,232.941870
T-MAC W2A16,W2A16,Medium Rectangular,1024x1024x512,16,4.487577,239.269838
T-MAC W3A16,W3A16,Small Square,256x256x256,1,0.650710,51.565877
T-MAC W3A16,W3A16,Small Square,256x256x256,2,0.394522,85.050851
T-MAC W3A16,W3A16,Small Square,256x256x256,4,0.448772,74.769442
T-MAC W3A16,W3A16,Small Square,256x256x256,8,0.379619,88.389759
T-MAC W3A16,W3A16,Small Square,256x256x256,16,0.380427,88.202026
T-MAC W3A16,W3A16,Medium Square,1024x1024x1024,1,33.349888,64.392530
T-MAC W3A16,W3A16,Medium Square,1024x1024x1024,2,17.684426,121.433608
T-MAC W3A16,W3A16,Medium Square,1024x1024x1024,4,10.349298,207.500417
T-MAC W3A16,W3A16,Medium Square,1024x1024x1024,8,13.067544,164.337204
T-MAC W3A16,W3A16,Medium Square,1024x1024x1024,16,10.281066,208.877528
T-MAC W3A16,W3A16,Large Square,4096x4096x4096,1,2262.284820,60.752277
T-MAC W3A16,W3A16,Large Square,4096x4096x4096,2,1119.598873,122.757317
T-MAC W3A16,W3A16,Large Square,4096x4096x4096,4,631.802582,217.534650
T-MAC W3A16,W3A16,Large Square,4096x4096x4096,8,529.392155,259.616528
T-MAC W3A16,W3A16,Large Square,4096x4096x4096,16,599.434801,229.280905
T-MAC W3A16,W3A16,Rectangular,4096x1024x2048,1,275.046955,62.461587
T-MAC W3A16,W3A16,Rectangular,4096x1024x2048,2,131.710203,130.436889
T-MAC W3A16,W3A16,Rectangular,4096x1024x2048,4,73.906900,232.452845
T-MAC W3A16,W3A16,Rectangular,4096x1024x2048,8,73.204279,234.683948
T-MAC W3A16,W3A16,Rectangular,4096x1024x2048,16,66.658447,257.729815
T-MAC W3A16,W3A16,Medium Rectangular,1024x1024x512,1,17.832168,60.213757
T-MAC W3A16,W3A16,Medium Rectangular,1024x1024x512,2,9.470799,113.373943
T-MAC W3A16,W3A16,Medium Rectangular,1024x1024x512,4,5.902071,181.926280
T-MAC W3A16,W3A16,Medium Rectangular,1024x1024x512,8,6.237089,172.154321
T-MAC W3A16,W3A16,Medium Rectangular,1024x1024x512,16,5.692750,188.615664
T-MAC W4A16,W4A16,Small Square,256x256x256,1,0.853521,39.312954
T-MAC W4A16,W4A16,Small Square,256x256x256,2,0.484518,69.253221
T-MAC W4A16,W4A16,Small Square,256x256x256,4,0.304221,110.296239
T-MAC W4A16,W4A16,Small Square,256x256x256,8,0.278925,120.299120
T-MAC W4A16,W4A16,Small Square,256x256x256,16,0.281838,119.055741
T-MAC W4A16,W4A16,Medium Square,1024x1024x1024,1,49.687122,43.220125
T-MAC W4A16,W4A16,Medium Square,1024x1024x1024,2,21.069338,101.924591
T-MAC W4A16,W4A16,Medium Square,1024x1024x1024,4,13.361271,160.724504
T-MAC W4A16,W4A16,Medium Square,1024x1024x1024,8,13.124263,163.626990
T-MAC W4A16,W4A16,Medium Square,1024x1024x1024,16,12.314391,174.388132
T-MAC W4A16,W4A16,Large Square,4096x4096x4096,1,2230.487506,61.618347
T-MAC W4A16,W4A16,Large Square,4096x4096x4096,2,1387.305945,99.068957
T-MAC W4A16,W4A16,Large Square,4096x4096x4096,4,826.430887,166.304231
T-MAC W4A16,W4A16,Large Square,4096x4096x4096,8,712.418761,192.918773
T-MAC W4A16,W4A16,Large Square,4096x4096x4096,16,671.332637,204.725565
T-MAC W4A16,W4A16,Rectangular,4096x1024x2048,1,273.531722,62.807593
T-MAC W4A16,W4A16,Rectangular,4096x1024x2048,2,173.782093,98.858685
T-MAC W4A16,W4A16,Rectangular,4096x1024x2048,4,104.054383,165.104714
T-MAC W4A16,W4A16,Rectangular,4096x1024x2048,8,91.422475,187.917349
T-MAC W4A16,W4A16,Rectangular,4096x1024x2048,16,86.543672,198.510980
T-MAC W4A16,W4A16,Medium Rectangular,1024x1024x512,1,17.648935,60.838902
T-MAC W4A16,W4A16,Medium Rectangular,1024x1024x512,2,11.632085,92.308629
