backend,dtype,category,shape,threads,runs,total_mean_ms,total_median_ms,total_std_ms,total_min_ms,total_max_ms,cv_percent,gflops_mean,gflops_median,checksum_min,checksum_max,autotuned,schedule
MKL,fp16,Small Square,256x256x256,1,5,4.511119,0.135663,7.813961,0.110675,18.155350,173.215584,171.113175,247.336650,-259.058982,-259.058982,,
MKL,fp16,Small Square,256x256x256,2,5,1.420900,0.128059,1.995752,0.111393,4.640257,140.456873,175.842081,262.023224,-259.058982,-259.058982,,
MKL,fp16,Small Square,256x256x256,4,5,1.182990,0.124377,1.515992,0.110058,3.352223,128.149193,179.979329,269.780040,-259.058982,-259.058982,,
MKL,fp16,Small Square,256x256x256,8,5,0.337325,0.113813,0.497422,0.109606,1.227063,147.460721,239.831597,294.820732,-259.058982,-259.058982,,
MKL,fp16,Small Square,256x256x256,16,5,0.574511,0.129488,0.665816,0.109936,1.583941,115.892574,182.614923,259.131595,-259.058982,-259.058982,,
MKL,fp16,Medium Square,1024x1024x1024,1,5,8.184528,7.219003,1.633362,6.786995,10.233092,19.956708,270.411617,297.476486,15358.713293,15358.713293,,
MKL,fp16,Medium Square,1024x1024x1024,2,5,8.944570,9.509686,2.078753,6.661319,11.405362,23.240391,251.328901,225.820668,15358.713293,15358.713293,,
MKL,fp16,Medium Square,1024x1024x1024,4,5,8.515131,7.205394,2.393143,6.963149,12.579334,28.104594,265.329026,298.038337,15358.713293,15358.713293,,
MKL,fp16,Medium Square,1024x1024x1024,8,5,9.037745,9.024728,2.073867,7.024566,12.331858,22.946727,246.870405,237.955498,15358.713293,15358.713293,,
MKL,fp16,Medium Square,1024x1024x1024,16,5,9.546107,7.303773,3.602574,7.242579,15.512488,37.738670,246.208661,294.023876,15358.713293,15358.713293,,
MKL,fp16,Large Square,4096x4096x4096,1,5,363.612728,331.529382,55.522969,314.549855,427.407794,15.269809,384.814808,414.560401,154678.290994,154678.290994,,
MKL,fp16,Large Square,4096x4096x4096,2,5,324.155931,320.147220,15.828878,309.375185,350.234585,4.883106,424.768718,429.299225,154678.290994,154678.290994,,
MKL,fp16,Large Square,4096x4096x4096,4,5,379.288718,344.963007,63.861431,317.742869,460.727858,16.837155,370.321576,398.416499,154678.290994,154678.290994,,
MKL,fp16,Large Square,4096x4096x4096,8,5,330.645486,324.934291,15.359455,313.725752,353.955952,4.645294,416.371369,422.974605,154678.290994,154678.290994,,
MKL,fp16,Large Square,4096x4096x4096,16,5,347.065296,325.084963,55.950908,312.787184,446.497956,16.121148,402.941987,422.778563,154678.290994,154678.290994,,
MKL,fp16,Rectangular,4096x1024x2048,1,5,53.897866,51.362234,8.582691,46.500183,67.226882,15.923991,324.765768,334.484462,-39989.737924,-39989.737924,,
