category,bit,M,K,N,threads,tmac_active_threads,tmac_total_ms,tmac_bm,tmac_bn,tmac_kfactor,tmac_autotuned,tmac_tuning_ms,tmac_preprocess_ms,tmac_kernel_ms,mkl_total_ms,speedup,tmac_gflops,mkl_gflops,tmac_p90_ms,mkl_p90_ms,tmac_checksum,mkl_checksum,checksum_abs_diff,checksum_rel_diff
Square,2,1024,1024,1,1,1,0.059077,128,8,16,1,14.793852,0.002929,0.056064,0.078116,1.3222743199553126,35.49862,26.846638,0.06511,0.079621,277.529491,277.776311,0.2468200000000138,0.0008885566919348058
Square,2,1024,1024,1,2,2,0.029124,512,8,16,1,17.84351,0.002611,0.026507,0.039213,1.346415327564895,72.007691,53.481039,0.029351,0.040399,277.529491,277.776311,0.2468200000000138,0.0008885566919348058
Square,2,1024,1024,1,4,4,0.016203,512,8,16,1,18.480232,0.002607,0.013608,0.020558,1.2687773869036598,129.429859,102.01148,0.016309,0.020901,277.529491,277.776311,0.2468200000000138,0.0008885566919348058
Square,2,1024,1024,1,8,2,0.031065,1024,8,16,1,107.943365,0.002787,0.028325,0.01419,0.45678416224046353,67.508514,147.790839,0.03138,0.01484,277.529491,277.776311,0.2468200000000138,0.0008885566919348058
Square,2,1024,1024,8,1,1,0.16486,256,8,16,1,10.007929,0.013832,0.15109,0.5623,3.4107727769016134,101.766444,29.83677,0.501344,0.657424,737.381651,737.238687,0.1429640000000063,0.00019391820114834303
Square,2,1024,1024,8,2,2,0.091584,256,8,16,1,9.118031,0.014788,0.0762,0.572525,6.251364867225716,183.189378,29.303901,0.098685,1.430863,737.381651,737.238687,0.1429640000000063,0.00019391820114834303
Square,2,1024,1024,8,4,4,0.057032,128,8,16,1,8.319406,0.015479,0.041583,0.557965,9.783367232430917,294.171974,30.068581,0.064852,0.622221,737.381651,737.238687,0.1429640000000063,0.00019391820114834303
Square,2,1024,1024,8,8,4,0.055782,512,8,16,1,11.937084,0.015415,0.040339,0.585149,10.489925065433296,300.763974,28.671699,0.05835,0.694394,737.381651,737.238687,0.1429640000000063,0.00019391820114834303
Square,2,1024,1024,32,1,1,0.662488,256,16,16,1,109.898765,0.055056,0.606514,0.686327,1.0359840480129452,101.298233,97.779723,1.375259,1.292758,1037.712859,1043.043744,5.33088500000008,0.005110893028854675
Square,2,1024,1024,32,2,2,0.363532,256,8,16,1,53.459525,0.05638,0.307397,1.185928,3.2622382623813033,184.602357,56.587638,0.378094,4.172889,1037.712859,1043.043744,5.33088500000008,0.005110893028854675
Square,2,1024,1024,32,4,2,0.366949,1024,64,16,1,75.068649,0.055703,0.311495,2.176674,5.931816137937425,182.883354,30.830921,0.908819,4.510951,1037.712859,1043.043744,5.33088500000008,0.005110893028854675
Square,2,1024,1024,32,8,2,0.384709,1024,64,16,1,321.091897,0.056161,0.327493,1.967833,5.115120779602244,174.440588,34.102926,1.067476,4.117386,1037.712859,1043.043744,5.33088500000008,0.005110893028854675
Square,2,1024,1024,128,1,1,2.635816,256,64,16,1,218.745513,0.219538,2.416569,6.300103,2.3901907416906187,101.8415,42.608106,2.713804,6.843532,2789.207244,2786.317047,2.890197000000171,0.0010372821725768851
Square,2,1024,1024,128,2,2,1.45115,128,16,16,1,130.508826,0.222834,1.229661,4.975328,3.4285415015677225,184.981191,53.953318,1.659402,9.525541,2789.207244,2786.317047,2.890197000000171,0.0010372821725768851
Square,2,1024,1024,128,4,4,0.864932,128,16,16,1,183.144485,0.221702,0.621412,1.25183,1.4473160895885457,310.354405,214.434433,1.083764,4.284102,2789.207244,2786.317047,2.890197000000171,0.0010372821725768851
Square,2,1024,1024,128,8,4,0.867606,512,64,16,1,471.077068,0.227203,0.633722,1.29737,1.4953446610558248,309.397879,206.907402,1.020517,5.259582,2789.207244,2786.317047,2.890197000000171,0.0010372821725768851
Square,2,1024,1024,512,1,1,12.428358,256,8,16,1,1300.464672,0.937927,11.458923,8.070186,0.6493364610192272,86.394504,133.050443,17.097459,17.944832,1119.83689,1111.003623,8.833266999999978,0.007950709446066295
Square,2,1024,1024,512,2,2,6.166192,256,32,16,1,486.519231,0.904615,5.153555,13.46022,2.1829064031739525,174.133699,79.771491,8.590914,19.445351,1119.83689,1111.003623,8.833266999999978,0.007950709446066295
Square,2,1024,1024,512,4,4,8.093078,128,32,16,1,574.262283,1.014364,6.531312,6.11668,0.7557915542146016,132.674098,175.54324,9.497828,6.80797,1119.83689,1111.003623,8.833266999999978,0.007950709446066295
Square,2,1024,1024,512,8,8,5.233799,1024,64,16,1,470.380435,1.009272,3.637111,6.758555,1.2913287269916174,205.155342,158.871508,6.12977,7.958917,1119.83689,1111.003623,8.833266999999978,0.007950709446066295
Medium Asymmetric,2,1024,2048,1,1,1,0.040626,512,8,16,1,18.812984,0.003456,0.037158,0.228883,5.633904396199478,103.241865,18.325101,0.043179,0.275745,99.792911,100.456987,0.6640759999999943,0.006610550642933322
Medium Asymmetric,2,1024,2048,1,2,2,0.023867,1024,8,16,1,15.189467,0.003863,0.020024,0.128754,5.394645326182595,175.73654,32.576106,0.028549,0.189372,99.792911,100.456987,0.6640759999999943,0.006610550642933322
Medium Asymmetric,2,1024,2048,1,4,4,0.016403,512,8,16,1,15.987561,0.003944,0.01245,0.064458,3.9296470157897945,255.703469,65.07034,0.061164,0.08986,99.792911,100.456987,0.6640759999999943,0.006610550642933322
Medium Asymmetric,2,1024,2048,1,8,8,1.494829,256,8,16,1,24.105281,0.005522,1.488817,0.033266,0.022254050463297138,2.805875,126.083809,6.441478,0.040939,99.792911,100.456987,0.6640759999999943,0.006610550642933322
Medium Asymmetric,2,1024,2048,8,1,1,0.328894,128,8,16,1,35.208239,0.027591,0.30138,1.580113,4.804322973359198,102.022025,21.235464,0.965545,2.99418,453.469331,453.421881,0.04745000000002619,0.00010464867706732087
Medium Asymmetric,2,1024,2048,8,2,2,0.184388,512,8,16,1,23.62382,0.029205,0.155217,1.535126,8.325520098921839,181.977309,21.857771,0.195786,2.059064,453.469331,453.421881,0.04745000000002619,0.00010464867706732087
Medium Asymmetric,2,1024,2048,8,4,2,0.186876,1024,8,16,1,19.311094,0.02928,0.157566,1.523734,8.15371690318714,179.554528,22.021187,0.449657,3.415209,453.469331,453.421881,0.04745000000002619,0.00010464867706732087
Medium Asymmetric,2,1024,2048,8,8,2,0.184141,1024,8,16,1,90.814363,0.0293,0.154901,1.517231,8.239506682379263,182.221406,22.115572,0.194745,2.282135,453.469331,453.421881,0.04745000000002619,0.00010464867706732087
