category,shape,threads,runs,median_ms,mean_ms,std_ms,min_ms,max_ms,cv_percent,gflops,checksum_min,checksum_max
BitVLA Action Residual,2560x8x2560,1,5,8.543680,9.897199,3.184501,7.510337,15.416404,32.175782,12.273119,1586.984500,1586.984500
BitVLA Action Residual,2560x8x2560,4,5,8.530823,9.922370,3.928629,6.764796,16.752562,39.593654,12.291616,1586.984500,1586.984500
BitVLA Action Residual,2560x8x2560,8,5,7.911072,8.726968,2.793933,6.085128,13.410354,32.014938,13.254537,1586.984500,1586.984500
BitVLA Action FC1,2560x8x17920,1,5,41.372991,42.938783,5.494885,38.261372,52.266483,12.797020,17.741120,-425.478654,-425.478654
BitVLA Action FC1,2560x8x17920,4,5,42.253349,43.206647,5.936930,37.719548,51.639409,13.740779,17.371480,-425.478654,-425.478654
BitVLA Action FC1,2560x8x17920,8,5,42.003149,43.250222,4.349374,38.676661,49.154201,10.056303,17.474956,-425.478654,-425.478654
BitVLA Vision Attention,1152x256x1152,1,5,5.629739,5.702254,2.484760,2.539122,9.471769,43.575055,120.694272,-949.318035,-949.318035
BitVLA Vision Attention,1152x256x1152,4,5,8.657196,7.580552,4.147788,2.511644,13.153175,54.716171,78.486989,-949.318035,-949.318035
BitVLA Vision Attention,1152x256x1152,8,5,4.009373,4.309842,1.318731,2.846723,6.007833,30.598122,169.472196,-949.318035,-949.318035
Pi0 Expert Q,2048x32x1024,1,5,3.756954,3.504916,1.539575,2.049313,5.754667,43.926159,35.725145,4597.439912,4597.439912
Pi0 Expert Q,2048x32x1024,4,5,4.546673,4.133291,1.624091,2.001995,6.265853,39.292938,29.519987,4597.439912,4597.439912
Pi0 Expert Q,2048x32x1024,8,5,3.738101,4.280431,2.356016,1.987025,8.181004,55.041551,35.905324,4597.439912,4597.439912
Pi0 Expert KV,256x32x1024,1,5,1.705929,2.098160,1.755319,0.161695,4.733441,83.659937,9.834651,-691.648315,-691.648315
Pi0 Expert KV,256x32x1024,4,5,1.779404,2.156722,2.245381,0.126613,5.915843,104.110854,9.428559,-691.648315,-691.648315
Pi0 Expert KV,256x32x1024,8,5,1.804643,2.096279,1.697982,0.121730,4.750216,80.999823,9.296695,-691.648315,-691.648315
Pi0 Expert O,1024x32x2048,1,5,3.570145,3.358370,0.920562,1.791629,4.215836,27.410975,37.594475,-700.104441,-700.104441
Pi0 Expert O,1024x32x2048,4,5,3.172954,3.085180,0.751764,1.890595,3.731357,24.366953,42.300559,-700.104441,-700.104441
Pi0 Expert O,1024x32x2048,8,5,3.518293,3.166529,0.791963,1.896153,3.915696,25.010443,38.148536,-700.104441,-700.104441
Pi0 Expert GateUp,4096x32x1024,1,5,6.320780,5.829567,1.079009,4.459837,6.858563,18.509241,42.468723,-1939.239920,-1939.239920
Pi0 Expert GateUp,4096x32x1024,4,5,6.706614,6.740423,2.114257,4.487496,9.577934,31.366830,40.025482,-1939.239920,-1939.239920
Pi0 Expert GateUp,4096x32x1024,8,5,5.470416,6.120702,1.580938,4.994203,8.817150,25.829363,49.070392,-1939.239920,-1939.239920
Pi0 Expert Down,1024x32x4096,1,5,5.528857,6.399885,1.934388,4.495991,9.016492,30.225362,48.551709,-4834.092172,-4834.092172
Pi0 Expert Down,1024x32x4096,4,5,6.296735,6.104821,1.539766,4.225582,8.035966,25.222128,42.630896,-4834.092172,-4834.092172
Pi0 Expert Down,1024x32x4096,8,5,6.698718,7.928921,4.129457,4.592202,15.135317,52.080943,40.072661,-4834.092172,-4834.092172
